Tp,Start date,Maturity,FixDays,Market quote
Dp,25/10/2019,S/N,2,-0.0037
Dp,25/10/2019,1W,2,-0.0035
Dp,25/10/2019,2W,2,-0.0036
Dp,25/10/2019,3W,2,-0.0036
Dp,25/10/2019,1M,2,-0.0037
Dp,25/10/2019,2M,2,-0.0036
Dp,25/10/2019,3M,2,-0.0035
Dp,25/10/2019,4M,2,-0.0035
Dp,25/10/2019,5M,2,-0.0035
Dp,25/10/2019,6M,2,-0.0035
Fr,25/11/2019,1M,2,-0.0035
Fr,27/12/2019,2M,2,-0.0035
Fr,27/01/2020,3M,2,-0.0035
Fr,25/02/2020,4M,2,-0.0036
Fr,25/03/2020,5M,2,-0.0037
Fr,27/04/2020,6M,2,-0.0037
Fr,25/05/2020,7M,2,-0.0037
Fr,25/06/2020,8M,2,-0.0038
Fr,27/07/2020,9M,2,-0.0038
Fr,25/08/2020,10M,2,-0.0038
Fr,25/09/2020,11M,2,-0.0038
Fr,26/10/2020,12M,2,-0.0038
Fr,25/11/2020,13M,2,-0.0038
Fr,28/12/2020,14M,2,-0.0038
Fr,25/01/2021,15M,2,-0.0037
Fr,25/02/2021,16M,2,-0.0037
Fr,25/03/2021,17M,2,-0.0036
Fr,26/04/2021,18M,2,-0.0036
Fr,25/10/2021,24M,2,-0.0032
Sw,25/10/2019,3Y,2,-0.0035
Sw,25/10/2019,4Y,2,-0.0032
Sw,25/10/2019,5Y,2,-0.0028
Sw,25/10/2019,6Y,2,-0.0023
Sw,25/10/2019,7Y,2,-0.0018
Sw,25/10/2019,8Y,2,-0.0012
Sw,25/10/2019,9Y,2,-0.0006
Sw,25/10/2019,10Y,2,0
Sw,25/10/2019,11Y,2,0.0006
Sw,25/10/2019,12Y,2,0.0011
Sw,25/10/2019,13Y,2,0.0016
Sw,25/10/2019,14Y,2,0.002
Sw,25/10/2019,15Y,2,0.0024
Sw,25/10/2019,16Y,2,0.0027
Sw,25/10/2019,17Y,2,0.003
Sw,25/10/2019,18Y,2,0.0032
Sw,25/10/2019,19Y,2,0.0034
Sw,25/10/2019,20Y,2,0.0036
Sw,25/10/2019,21Y,2,0.0037
Sw,25/10/2019,22Y,2,0.0038
Sw,25/10/2019,23Y,2,0.0039
Sw,25/10/2019,24Y,2,0.0039
Sw,25/10/2019,25Y,2,0.0039
Sw,25/10/2019,26Y,2,0.004
Sw,25/10/2019,27Y,2,0.004
Sw,25/10/2019,28Y,2,0.004
Sw,25/10/2019,29Y,2,0.0039
Sw,25/10/2019,30Y,2,0.0039
Sw,25/10/2019,31Y,2,0.0039
Sw,25/10/2019,32Y,2,0.0039
Sw,25/10/2019,33Y,2,0.0038
Sw,25/10/2019,34Y,2,0.0038
Sw,25/10/2019,35Y,2,0.0037
Sw,25/10/2019,36Y,2,0.0037
Sw,25/10/2019,37Y,2,0.0036
Sw,25/10/2019,38Y,2,0.0035
Sw,25/10/2019,39Y,2,0.0035
Sw,25/10/2019,40Y,2,0.0034
Sw,25/10/2019,50Y,2,0.0028
Sw,25/10/2019,60Y,2,0.0025
