Tp,Maturity,FixDays,Market quote
Dp,O/N,0,-0.0045599
Dp,T/N,1,-0.0045599
Dp,S/N,2,-0.0045599
Sw,1W,2,-0.0045599
Sw,2W,2,-0.0045599
Sw,3W,2,-0.00456
Sw,1M,2,-0.0046
Sw,2M,2,-0.00466
Sw,3M,2,-0.0047
Sw,4M,2,-0.00473
Sw,5M,2,-0.00477
Sw,6M,2,-0.0048
Sw,7M,2,-0.00483
Sw,8M,2,-0.00486
Sw,9M,2,-0.00488
Sw,10M,2,-0.00491
Sw,11M,2,-0.00494
Sw,1Y,2,-0.00496
Sw,13M,2,-0.004984
Sw,14M,2,-0.0050128
Sw,15M,2,-0.00504
Sw,16M,2,-0.0050619
Sw,17M,2,-0.0050772
Sw,18M,2,-0.00509
Sw,19M,2,-0.0051019
Sw,20M,2,-0.0051118
Sw,21M,2,-0.00512
Sw,22M,2,-0.0051282
Sw,23M,2,-0.0051342
Sw,2Y,2,-0.00514
Sw,3Y,2,-0.0051399
Sw,4Y,2,-0.00498
Sw,5Y,2,-0.0047599
Sw,6Y,2,-0.0044899
Sw,7Y,2,-0.0041599
Sw,8Y,2,-0.0037799
Sw,9Y,2,-0.00339
Sw,10Y,2,-0.00299
Sw,11Y,2,-0.0025799
Sw,12Y,2,-0.00221
Sw,13Y,2,-0.0018579
Sw,14Y,2,-0.001526
Sw,15Y,2,-0.00123
Sw,16Y,2,-0.0009845
Sw,17Y,2,-0.0007854
Sw,18Y,2,-0.0006322
Sw,19Y,2,-0.0005242
Sw,20Y,2,-0.0004599
Sw,21Y,2,-0.0004273
Sw,22Y,2,-0.0004124
Sw,23Y,2,-0.0004147
Sw,24Y,2,-0.000434
Sw,25Y,2,-0.00047
Sw,26Y,2,-0.000519
Sw,27Y,2,-0.0005759
Sw,28Y,2,-0.0006396
Sw,29Y,2,-0.0007081
Sw,30Y,2,-0.00078
Sw,35Y,2,-0.0011607
Sw,40Y,2,-0.0015599
Sw,50Y,2,-0.0023
Sw,60Y,2,-0.0028
