Tp,Maturity,FixDays,Market quote
Dp,O/N,0,-0.00479004
Dp,T/N,1,-0.00479001
Dp,S/N,2,-0.00478809
Sw,1W,2,-0.00478000
Sw,2W,2,-0.00479000
Sw,3W,2,-0.00480000
Sw,1M,2,-0.00481000
Sw,2M,2,-0.00482000
Sw,3M,2,-0.00484000
Sw,4M,2,-0.00487000
Sw,5M,2,-0.00489000
Sw,6M,2,-0.00492000
Sw,7M,2,-0.00495000
Sw,8M,2,-0.00497000
Sw,9M,2,-0.00500000
Sw,10M,2,-0.00502000
Sw,11M,2,-0.00504000
Sw,1Y,2,-0.00506000
Sw,13M,2,-0.00508420
Sw,14M,2,-0.00510335
Sw,15M,2,-0.00512000
Sw,16M,2,-0.00513242
Sw,17M,2,-0.00514218
Sw,18M,2,-0.00515000
Sw,19M,2,-0.00515927
Sw,20M,2,-0.00516954
Sw,21M,2,-0.00518000
Sw,22M,2,-0.00519198
Sw,23M,2,-0.00520160
Sw,2Y,2,-0.00521000
Sw,3Y,2,-0.00518000
Sw,4Y,2,-0.00500000
Sw,5Y,2,-0.00476000
Sw,6Y,2,-0.00443000
Sw,7Y,2,-0.00406000
Sw,8Y,2,-0.00364000
Sw,9Y,2,-0.00319000
Sw,10Y,2,-0.00274000
Sw,11Y,2,-0.00228000
Sw,12Y,2,-0.00184000
Sw,13Y,2,-0.00143645
Sw,14Y,2,-0.00107227
Sw,15Y,2,-0.00075000
Sw,16Y,2,-0.00047641
Sw,17Y,2,-0.00024642
Sw,18Y,2,-0.00005861
Sw,19Y,2,0.00008923
Sw,20Y,2,0.00020000
Sw,21Y,2,0.00027513
Sw,22Y,2,0.00032148
Sw,23Y,2,0.00034434
Sw,24Y,2,0.00034876
Sw,25Y,2,0.00034000
Sw,26Y,2,0.00031890
Sw,27Y,2,0.00028575
Sw,28Y,2,0.00024402
Sw,29Y,2,0.00019751
Sw,30Y,2,0.00015000
Sw,35Y,2,-0.00007843
Sw,40Y,2,-0.00030000
Sw,50Y,2,-0.00068000
Sw,60Y,2,-0.00082000
