Date;S&P
31/01/2000;1427.4690
29/02/2000;1386.8357
31/03/2000;1442.2135
28/04/2000;1460.0125
31/05/2000;1416.7174
30/06/2000;1461.9595
31/07/2000;1472.8376
31/08/2000;1485.4583
29/09/2000;1470.5643
31/10/2000;1390.1441
30/11/2000;1372.6423
29/12/2000;1329.7419
31/01/2001;1334.2087
28/02/2001;1305.5415
30/03/2001;1185.8514
30/04/2001;1189.5362
31/05/2001;1270.6974
29/06/2001;1238.7129
31/07/2001;1205.8132
31/08/2001;1178.5039
28/09/2001;1058.6705
31/10/2001;1076.5904
30/11/2001;1130.0173
31/12/2001;1144.9167
31/01/2002;1140.0009
28/02/2002;1100.8445
28/03/2002;1153.4862
30/04/2002;1112.0345
31/05/2002;1079.4648
28/06/2002;1014.0470
31/07/2002;905.7817
30/08/2002;912.5532
30/09/2002;870.1100
31/10/2002;854.6313
29/11/2002;911.3057
31/12/2002;898.8732
31/01/2003;895.3987
28/02/2003;837.4825
31/03/2003;846.6214
30/04/2003;890.1873
30/05/2003;935.8377
30/06/2003;987.9952
31/07/2003;992.2396
29/08/2003;989.5319
30/09/2003;1018.9223
31/10/2003;1038.7343
28/11/2003;1050.3280
31/12/2003;1081.2187
30/01/2004;1131.9136
27/02/2004;1143.4790
31/03/2004;1123.9796
30/04/2004;1133.3623
28/05/2004;1103.6338
30/06/2004;1132.9259
30/07/2004;1106.7345
31/08/2004;1088.9350
30/09/2004;1117.4732
29/10/2004;1118.0686
30/11/2004;1169.5195
30/12/2004;1199.6857
31/01/2005;1181.5562
28/02/2005;1199.7250
31/03/2005;1193.8770
29/04/2005;1164.4233
31/05/2005;1179.2077
30/06/2005;1202.2555
29/07/2005;1220.9133
31/08/2005;1224.2700
30/09/2005;1225.5564
31/10/2005;1191.9643
30/11/2005;1238.6523
30/12/2005;1262.3714
31/01/2006;1277.7455
28/02/2006;1277.1745
31/03/2006;1293.7417
28/04/2006;1301.5305
31/05/2006;1289.5722
30/06/2006;1253.1214
31/07/2006;1261.1895
31/08/2006;1287.1513
29/09/2006;1317.4819
31/10/2006;1363.3845
30/11/2006;1389.4255
29/12/2006;1416.1505
31/01/2007;1423.9370
28/02/2007;1445.3320
30/03/2007;1406.9523
30/04/2007;1462.7005
31/05/2007;1511.3365
29/06/2007;1514.4895
31/07/2007;1520.8941
31/08/2007;1454.6170
28/09/2007;1495.9600
31/10/2007;1539.6587
30/11/2007;1461.2664
31/12/2007;1480.0481
31/01/2008;1380.3300
29/02/2008;1354.6400
31/03/2008;1317.5410
30/04/2008;1370.4691
30/05/2008;1401.9773
30/06/2008;1341.2510
31/07/2008;1257.5687
29/08/2008;1281.4724
30/09/2008;1220.0005
31/10/2008;968.8009
28/11/2008;883.2725
31/12/2008;877.1526
30/01/2009;866.5855
27/02/2009;806.3080
31/03/2009;757.1268
30/04/2009;848.5359
29/05/2009;901.6748
30/06/2009;926.1150
31/07/2009;934.1083
31/08/2009;1009.7248
30/09/2009;1044.5524
30/10/2009;1067.6636
30/11/2009;1088.0690
31/12/2009;1110.3777
29/01/2010;1123.5816
26/02/2010;1089.1600
31/03/2010;1152.0478
30/04/2010;1186.6900
03/05/2010;1202.2600
04/05/2010;1173.6000
05/05/2010;1165.8700
06/05/2010;1128.1500
07/05/2010;1110.8800
10/05/2010;1159.7300
11/05/2010;1155.7900
12/05/2010;1171.6700
13/05/2010;1157.4400
14/05/2010;1135.6800
17/05/2010;1136.9400
18/05/2010;1120.8000
19/05/2010;1115.0500
20/05/2010;1071.5900
21/05/2010;1087.6900
24/05/2010;1073.6500
25/05/2010;1074.0300
26/05/2010;1067.9500
27/05/2010;1103.0600
28/05/2010;1089.4100
01/06/2010;1070.7100
02/06/2010;1098.3800
03/06/2010;1102.8300
04/06/2010;1064.8800
07/06/2010;1050.4700
08/06/2010;1062.0000
09/06/2010;1055.6900
10/06/2010;1086.8400
11/06/2010;1091.6000
14/06/2010;1089.6300
15/06/2010;1115.2300
16/06/2010;1114.6100
17/06/2010;1116.0400
18/06/2010;1117.5100
21/06/2010;1113.2000
22/06/2010;1095.3100
23/06/2010;1092.0400
24/06/2010;1073.6900
25/06/2010;1076.7600
28/06/2010;1074.5700
29/06/2010;1041.2400
30/06/2010;1030.7100
01/07/2010;1027.3700
02/07/2010;1022.5800
06/07/2010;1028.0600
07/07/2010;1060.2700
08/07/2010;1070.2500
09/07/2010;1077.9600
12/07/2010;1078.7500
13/07/2010;1095.3400
14/07/2010;1095.1700
15/07/2010;1096.4800
16/07/2010;1064.8800
19/07/2010;1071.2500
20/07/2010;1083.4800
21/07/2010;1069.5900
22/07/2010;1093.6700
23/07/2010;1102.6600
26/07/2010;1115.0100
27/07/2010;1113.8400
28/07/2010;1106.1300
29/07/2010;1101.5300
30/07/2010;1101.6000
02/08/2010;1125.8600
03/08/2010;1120.4600
04/08/2010;1127.2400
05/08/2010;1125.8100
06/08/2010;1121.6400
09/08/2010;1127.7900
10/08/2010;1121.0600
11/08/2010;1089.4700
12/08/2010;1083.6100
13/08/2010;1079.2500
16/08/2010;1079.3800
17/08/2010;1092.5400
18/08/2010;1094.1600
19/08/2010;1075.6300
20/08/2010;1071.6900
23/08/2010;1067.3600
24/08/2010;1051.8700
25/08/2010;1055.3300
26/08/2010;1047.2200
27/08/2010;1064.5900
30/08/2010;1048.9200
31/08/2010;1049.3300
01/09/2010;1080.2900
02/09/2010;1090.1000
03/09/2010;1104.5100
07/09/2010;1091.8400
08/09/2010;1098.8700
09/09/2010;1104.1800
10/09/2010;1109.5500
13/09/2010;1121.9000
14/09/2010;1121.1000
15/09/2010;1125.0700
16/09/2010;1124.6600
17/09/2010;1125.5900
20/09/2010;1142.7100
21/09/2010;1139.7800
22/09/2010;1134.2800
23/09/2010;1124.8300
