ISIN;Description;Maturity;Rate;PayFrequency;CleanPrice;DirtyPrice;Price;Yield;
IT0004536949;BTP Mar-20, 4.25;01/03/2020;0.0425;2;100.202;102.1285;100.218;-0.004;
IT0005107708;BTP May-20, 0.7;01/05/2020;0.007;2;100.207;100.407;100.2295;-0.00373;
IT0005250946;BTP Jun-20, 0.35;15/06/2020;0.0035;2;100.219;100.276;100.2385;-0.00347;
IT0004594930;BTP Sep-20, 4;01/09/2020;0.04;2;102.363;104.1762;102.3805;-0.00346;
IT0005285041;BTP Oct-20, 0.2;15/10/2020;0.002;2;100.353;100.419;100.3705;-0.00352;
IT0005142143;BTP Nov-20, 0.65;01/11/2020;0.0065;2;100.701;100.887;100.719;-0.00353;
IT0004634132;BTP Mar-21, 3.75;01/03/2021;0.0375;2;104.225;105.9249;104.266;-0.0032;
IT0005330961;BTP Apr-21, 0.05;15/04/2021;0.0005;2;100.347;100.364;100.377;-0.00272;
IT0004966401;BTP May-21, 3.75;01/05/2021;0.0375;2;104.85;105.9214;104.893;-0.00278;
IT0005175598;BTP Jun-21, 0.45;01/06/2021;0.0045;2;100.902;100.993;100.924;-0.0026;
IT0004009673;BTP Aug-21, 3.75;01/08/2021;0.0375;2;105.844;105.9676;105.875;-0.00246;
IT0004695075;BTP Sep-21, 4.75;01/09/2021;0.0475;2;107.71;109.8632;107.7295;-0.00235;
IT0005348443;BTP Oct-21, 2.3;15/10/2021;0.023;2;104.18;104.94;104.2015;-0.00211;
IT0005216491;BTP Nov-21, 0.35;01/11/2021;0.0035;2;100.944;101.044;100.9685;-0.00213;
IT0005028003;BTP Dec-21, 2.15;15/12/2021;0.0215;2;104.323;104.6755;104.3405;-0.00208;
IT0004759673;BTP Mar-22, 5;01/03/2022;0.05;2;110.6;112.8665;110.6415;-0.00187;
IT0005244782;BTP Apr-22, 1.2;01/04/2022;0.012;2;102.883;103.326;102.8905;-0.00154;
IT0005086886;BTP Apr-22, 1.35;15/04/2022;0.0135;2;103.192;103.6383;103.2085;-0.00127;
IT0005366007;BTP Jul-22, 1;15/07/2022;0.01;2;102.657;102.737;102.6775;-0.00104;
IT0005277444;BTP Aug-22, 0.9;01/08/2022;0.009;2;102.444;102.474;102.472;-0.001;
IT0004801541;BTP Sep-22, 5.5;01/09/2022;0.055;2;114.209;116.7021;114.2535;-0.00089;
IT0005135840;BTP Sep-22, 1.45;15/09/2022;0.0145;2;103.96;104.5615;103.9795;-0.00087;
IT0004848831;BTP Nov-22, 5.5;01/11/2022;0.055;2;115.054;116.6254;115.095;-0.00057;
IT0005384497;BTP Jan-23, 0.05;15/01/2023;0.0005;2;100.153;100.157;100.174;-0.0001;
IT0005325946;BTP Mar-23, 0.95;01/03/2023;0.0095;2;102.805;103.236;102.8255;0.00023;
IT0005172322;BTP Mar-23, 0.95;15/03/2023;0.0095;2;102.861;103.255;102.8845;0.00015;
IT0004898034;BTP May-23, 4.5;01/05/2023;0.045;2;114.282;115.5677;114.3025;0.00047;
IT0004356843;BTP Aug-23, 4.75;01/08/2023;0.0475;2;116.21;116.3666;116.232;0.00063;
IT0005344335;BTP Oct-23, 2.45;01/10/2023;0.0245;2;108.457;109.361;108.474;0.00111;
IT0005215246;BTP Oct-23, 0.65;15/10/2023;0.0065;2;102.089;102.304;102.118;0.00072;
IT0000366655;BTP Nov-23, 9;01/11/2023;0.09;2;132.922;135.4934;132.9585;0.00107;
IT0000366721;BTP Dec-23, 8.5;22/12/2023;0.085;2;131.507;132.7379;131.7225;0.00204;
IT0004953417;BTP Mar-24, 4.5;01/03/2024;0.045;2;117.391;119.4308;117.417;0.00179;
IT0005246340;BTP May-24, 1.85;15/05/2024;0.0185;2;106.994;107.451;107.0145;0.00194;
IT0005367492;BTP Jul-24, 1.75;01/07/2024;0.0175;2;106.598;106.805;106.63;0.00229;
IT0005001547;BTP Sep-24, 3.75;01/09/2024;0.0375;2;115.782;117.4819;115.8095;0.00251;
IT0005282527;BTP Nov-24, 1.45;15/11/2024;0.0145;2;105.621;105.98;105.635;0.00257;
IT0005045270;BTP Dec-24, 2.5;01/12/2024;0.025;2;110.524;111.0295;110.547;0.00286;
IT0005386245;BTP Feb-25, 0.35;01/02/2025;0.0035;2;100.108;100.12;100.137;0.00323;
IT0004513641;BTP Mar-25, 5;01/03/2025;0.05;2;123.373;125.6395;123.4015;0.00322;
IT0005327306;BTP May-25, 1.45;15/05/2025;0.0145;2;105.627;105.986;105.6525;0.00363;
IT0005090318;BTP Jun-25, 1.5;01/06/2025;0.015;2;105.912;106.2153;105.936;0.00368;
IT0005345183;BTP Nov-25, 2.5;15/11/2025;0.025;2;111.654;112.2721;111.679;0.00442;
IT0005127086;BTP Dec-25, 2;01/12/2025;0.02;2;108.945;109.3494;108.967;0.00433;
IT0004644735;BTP Mar-26, 4.5;01/03/2026;0.045;2;123.95;125.9898;123.974;0.00474;
IT0005170839;BTP Jun-26, 1.6;01/06/2026;0.016;2;106.849;107.173;106.8685;0.00492;
IT0005370306;BTP Jul-26, 2.1;15/07/2026;0.021;2;109.868;110.035;109.8935;0.00532;
IT0001086567;BTP Nov-26, 7.25;01/11/2026;0.0725;2;143.91;145.9814;143.952;0.0057;
IT0005210650;BTP Dec-26, 1.25;01/12/2026;0.0125;2;104.577;104.83;104.611;0.00559;
IT0005390874;BTP Jan-27, 0.85;15/01/2027;0.0085;2;101.66;101.728;101.6865;0.00602;
IT0005240830;BTP Jun-27, 2.2;01/06/2027;0.022;2;110.958;111.403;111.0055;0.00655;
IT0005274805;BTP Aug-27, 2.05;01/08/2027;0.0205;2;109.968;110.036;109.996;0.00677;
IT0001174611;BTP Nov-27, 6.5;01/11/2027;0.065;2;143.329;145.1861;143.3825;0.00712;
IT0005323032;BTP Feb-28, 2;01/02/2028;0.02;2;109.918;109.984;109.954;0.00714;
IT0004889033;BTP Sep-28, 4.75;01/09/2028;0.0475;2;132.707;134.8602;132.7505;0.00783;
IT0005340929;BTP Dec-28, 2.8;01/12/2028;0.028;2;116.795;117.361;116.799;0.00819;
IT0005365165;BTP Aug-29, 3;01/08/2029;0.03;2;119.172;119.271;119.199;0.00884;
IT0001278511;BTP Nov-29, 5.25;01/11/2029;0.0525;2;140.105;141.605;140.1635;0.00921;
IT0005024234;BTP Mar-30, 3.5;01/03/2030;0.035;2;124.236;125.8225;124.2895;0.00961;
IT0005383309;BTP Apr-30, 1.35;01/04/2030;0.0135;2;103.618;104.116;103.6685;0.00971;
IT0001444378;BTP May-31, 6;01/05/2031;0.06;2;151.768;153.4823;151.91;0.01078;
IT0005094088;BTP Mar-32, 1.65;01/03/2032;0.0165;2;105.597;106.3449;105.7135;0.01144;
IT0003256820;BTP Feb-33, 5.75;01/02/2033;0.0575;2;153.349;153.5386;153.4815;0.0127;
IT0005240350;BTP Sep-33, 2.45;01/09/2033;0.0245;2;114.237;115.348;114.353;0.01296;
IT0003535157;BTP Aug-34, 5;01/08/2034;0.05;2;147.306;147.4708;147.3555;0.01383;
IT0005358806;BTP Mar-35, 3.35;01/03/2035;0.0335;2;125.7;127.219;125.865;0.01439;
IT0005177909;BTP Sep-36, 2.25;01/09/2036;0.0225;2;110.949;111.969;111.018;0.01502;
IT0003934657;BTP Feb-37, 4;01/02/2037;0.04;2;136.172;136.3039;136.335;0.01562;
IT0005321325;BTP Sep-38, 2.95;01/09/2038;0.0295;2;120.724;122.061;120.904;0.01645;
IT0004286966;BTP Aug-39, 5;01/08/2039;0.05;2;154.833;154.9978;155.0085;0.01684;
IT0005377152;BTP Mar-40, 3.1;01/03/2040;0.031;2;122.855;124.26;123.05;0.01742;
IT0004532559;BTP Sep-40, 5;01/09/2040;0.05;2;155.372;157.6385;155.5655;0.01772;
IT0004923998;BTP Sep-44, 4.75;01/09/2044;0.0475;2;155.669;157.8222;155.862;0.01903;
IT0005083057;BTP Sep-46, 3.25;01/09/2046;0.0325;2;127.617;129.0902;127.774;0.01921;
IT0005162828;BTP Mar-47, 2.7;01/03/2047;0.027;2;116.378;117.602;116.539;0.01923;
IT0005273013;BTP Mar-48, 3.45;01/03/2048;0.0345;2;132.34;133.904;132.4935;0.01951;
IT0005363111;BTP Sep-49, 3.85;01/09/2049;0.0385;2;140.906;142.651;141.16;0.02009;
IT0005398406;BTP Sep-50, 2.45;01/09/2050;0.0245;2;109.564;110.675;109.7795;0.0203;
IT0005217390;BTP Mar-67, 2.8;01/03/2067;0.028;2;116.337;117.606;116.901;0.02233;
